team,cluster_id,archetype,pca_x,pca_y
Argentina,4,High-Press Possession,0.6035745330574411,0.4601653250946211
Athletic Club,3,Deep-Block Counter,-0.4467881674630689,-0.2121075070483343
Atlético Madrid,1,Direct Long-Ball,0.1092582655109366,0.44002201066102326
Australia,3,Deep-Block Counter,-0.3945206811111658,-0.24348005857604518
Austria,0,Wing-Play Focused,0.436242697329456,-0.386113419250058
Barcelona,4,High-Press Possession,0.6247600336400085,0.1860669691668882
Belgium,0,Wing-Play Focused,0.016532539602319245,-0.05580163828438611
Brazil,4,High-Press Possession,0.6670713717518361,0.12253647484374455
Cameroon,3,Deep-Block Counter,-0.24077563081366096,-0.16083215292790265
Canada,4,High-Press Possession,0.7059526975093797,-0.07825921060051871
Celta Vigo,1,Direct Long-Ball,-0.034346832444293394,0.6602368984852881
Costa Rica,2,Individual Flair,-0.8432896202798044,-0.030316760284376083
Croatia,0,Wing-Play Focused,0.25548934503432413,-0.11525588797917666
Czech Republic,0,Wing-Play Focused,0.16322294425323136,-0.14767070473587668
Denmark,0,Wing-Play Focused,0.42425690774648656,-0.26019889876935376
Deportivo Alavés,2,Individual Flair,-0.5473935673913104,0.10698993212678572
Ecuador,4,High-Press Possession,0.4113862568912535,0.10042048242556062
Eibar,0,Wing-Play Focused,0.28571217809112875,-0.48532013719333517
England,4,High-Press Possession,0.40240970525006176,0.11973759032405626
Espanyol,1,Direct Long-Ball,-0.14551795802658937,0.3341912387590671
Finland,3,Deep-Block Counter,-0.5040462382206616,-0.2199200314491262
France,4,High-Press Possession,0.2905485311802126,0.13255638082027987
Germany,4,High-Press Possession,0.7427336988419788,-0.1349446756253693
Getafe,1,Direct Long-Ball,0.028411779259206304,0.40436413622546974
Ghana,2,Individual Flair,-0.19429407202130022,0.023033974678253907
Granada,1,Direct Long-Ball,-0.4634127257056974,0.5170260947017947
Huesca,2,Individual Flair,-0.5013846919497775,0.14466675257581627
Hungary,2,Individual Flair,-0.7858379006477719,0.21722602106844663
Iran,3,Deep-Block Counter,-0.44316629988698947,-0.03671084757710304
Italy,4,High-Press Possession,0.5591207019840689,0.2753406599879341
Japan,1,Direct Long-Ball,0.07553514937819283,0.27147336768485275
Leganés,2,Individual Flair,-0.4467180202220027,0.19090058569955365
Levante UD,1,Direct Long-Ball,-0.20765920063310903,0.12488222288316667
Mexico,4,High-Press Possession,0.6595820977616003,0.1867290659225792
Morocco,1,Direct Long-Ball,-0.05680610416034324,0.4264387025267195
Netherlands,0,Wing-Play Focused,0.32220368136804856,-0.07375789392470837
North Macedonia,0,Wing-Play Focused,0.056776305096065585,0.05800250747200259
Osasuna,3,Deep-Block Counter,-0.5102990290537337,-0.30502515887093745
Poland,0,Wing-Play Focused,-0.010928425577655845,-0.07145152103620643
Portugal,4,High-Press Possession,0.4350895551875282,0.04301011319761437
Qatar,2,Individual Flair,-0.41008071076662644,-0.2211770107903125
Real Betis,2,Individual Flair,-0.3735152450859697,0.1104577491131355
Real Madrid,0,Wing-Play Focused,0.18609521603574414,-0.03375991353078399
Real Sociedad,0,Wing-Play Focused,-0.08173710040293114,-0.23271431835975576
Real Valladolid,1,Direct Long-Ball,-0.13627007272882125,0.14832077950318054
Russia,1,Direct Long-Ball,0.13688437326265857,0.3242142658076682
Saudi Arabia,1,Direct Long-Ball,-0.028464397681654246,0.11195936048202694
Scotland,0,Wing-Play Focused,0.13665643681564726,-0.4291728843392929
Senegal,1,Direct Long-Ball,0.06137617709143214,0.05549130997110041
Serbia,0,Wing-Play Focused,-0.13388823594502638,-0.45311464713163163
Sevilla,0,Wing-Play Focused,-0.0928165310092087,-0.2667613985944399
Slovakia,2,Individual Flair,-0.5471016816096356,-0.1682816634831794
South Korea,0,Wing-Play Focused,-0.0023077292573698473,-0.23477985942247573
Spain,4,High-Press Possession,1.2358944466008264,-0.17735682933925007
Sweden,3,Deep-Block Counter,-0.19141677521750922,-0.008582160796815312
Switzerland,1,Direct Long-Ball,0.0473634652954442,0.1827214502784569
Tunisia,0,Wing-Play Focused,0.12049113598378625,-0.3619686263684806
Turkey,3,Deep-Block Counter,-0.33182081009643505,-0.32096339987606143
Ukraine,2,Individual Flair,-0.12608969847061374,-0.041311373662762836
United States,0,Wing-Play Focused,0.2961215730562019,-0.3483027865273786
Uruguay,0,Wing-Play Focused,0.03003664898754178,-0.22984886810290983
Valencia,3,Deep-Block Counter,-0.6608380277663707,0.1591176137232675
Villarreal,2,Individual Flair,-0.3478143066338386,-0.0915192418850625
Wales,3,Deep-Block Counter,-0.28544396057310145,-0.0015185498669479823
