team,ppda,possession_pct,pass_directness,defensive_line_height,dribbles_per90,counter_attack_speed,progressive_passes_per90,crosses_per90,shots_open_play_pct,high_turnovers_per90
Argentina,2.5551,58.5988,0.1477,0.2287,29.3946,6.7893,212.4467,19.5726,84.221,21.0062
Athletic Club,3.667,35.0515,0.197,0.1987,20.7405,6.9848,190.25,14.8695,100.0,13.8801
Atlético Madrid,3.0913,37.2089,0.1852,0.199,31.8916,10.6757,178.4444,18.3423,87.5926,20.818
Australia,3.4259,37.0521,0.1841,0.183,20.8986,9.0945,187.3379,15.2452,100.0,18.2303
Austria,1.9489,52.9412,0.166,0.2341,29.2035,8.6245,230.878,22.3231,98.4375,23.274
Barcelona,1.886,65.1319,0.153,0.2146,39.1889,9.4594,238.4095,18.4077,88.839,20.6495
Belgium,3.3082,53.9703,0.1491,0.1902,31.0082,8.6514,207.0006,17.1806,95.4167,19.1995
Brazil,2.5522,56.9888,0.1764,0.2115,35.4255,8.3983,230.8085,27.2552,89.1339,26.9974
Cameroon,2.9001,43.1515,0.2002,0.1838,24.4226,,199.083,18.9045,97.4359,15.3156
Canada,2.4818,54.5115,0.1845,0.2362,44.5571,8.4702,217.851,22.0323,94.3182,28.6531
Celta Vigo,3.2518,39.4983,0.1451,0.2037,20.7817,7.178,150.073,15.1188,84.0,15.8361
Costa Rica,5.5272,31.9338,0.1478,0.1865,19.2583,5.543,139.7732,10.0294,100.0,12.4071
Croatia,2.7065,53.0006,0.1624,0.2077,25.7556,7.4682,223.44,25.9845,93.8872,19.8298
Czech Republic,2.3488,48.7142,0.1804,0.2235,19.0241,4.8057,208.6196,23.8465,94.697,16.5942
Denmark,2.3676,55.365,0.176,0.2201,27.2001,6.3436,233.3236,26.3592,95.7251,22.6736
Deportivo Alavés,4.4749,24.861,0.2028,0.2155,20.6404,11.55,158.292,15.7519,95.8333,11.3742
Ecuador,2.0894,53.5093,0.153,0.2344,21.1855,5.5095,195.7124,16.4084,90.7407,21.6804
Eibar,2.5486,39.334,0.2107,0.2448,15.5577,10.3202,228.159,40.4197,97.9167,19.2836
England,2.4229,56.1708,0.1711,0.2196,26.8084,10.8217,224.9115,18.7426,90.1478,20.8031
Espanyol,3.2412,33.1278,0.2015,0.2039,20.6165,11.2033,175.1358,17.8577,89.3939,16.1284
Finland,3.029,36.9319,0.1544,0.1705,22.2552,3.845,166.5061,16.5983,100.0,14.3577
France,3.4411,51.6865,0.1724,0.2113,33.8571,7.0902,208.6062,21.6829,91.5059,21.6032
Germany,2.0871,60.0911,0.1768,0.2329,26.1532,4.6453,241.9295,26.6551,92.2788,27.2917
Getafe,2.6587,22.3318,0.2994,0.2318,20.921,9.084,179.1889,17.7769,88.2222,17.5215
Ghana,3.3346,43.0515,0.1678,0.1936,33.0752,10.2865,164.2057,12.9881,96.2963,17.9195
Granada,3.3096,23.8754,0.2078,0.1908,24.1082,9.1018,140.691,8.8447,89.4444,12.5668
Huesca,3.9322,31.5105,0.1631,0.1949,26.9318,7.0583,144.9646,11.2882,95.8333,13.1943
Hungary,4.8647,33.1205,0.1382,0.1831,25.276,,115.1123,7.222,96.2963,10.8319
Iran,3.6065,34.6755,0.1931,0.188,17.3954,9.533,167.6503,22.1972,95.8333,12.9317
Italy,2.413,55.3656,0.1583,0.2191,30.8708,10.5728,226.4624,17.9191,87.5657,24.5114
Japan,3.4299,34.6246,0.1781,0.2048,21.5784,0.685,193.9385,16.9235,90.2715,23.3231
Leganés,3.8575,24.2733,0.2005,0.2044,25.7314,13.169,153.0144,9.8822,95.0,16.3209
Levante UD,2.978,37.7431,0.1719,0.1899,30.5455,7.8344,160.6733,20.6327,93.5714,14.1729
Mexico,2.0132,53.3318,0.1823,0.2216,18.4022,,213.0908,27.5536,86.5385,27.525
Morocco,4.1058,38.8066,0.1514,0.2071,26.2403,7.7758,159.1875,14.1557,89.0306,20.2392
Netherlands,2.3015,52.7103,0.1744,0.2133,23.9274,9.7867,224.7704,17.4136,93.6508,23.6173
North Macedonia,3.301,43.3503,0.1563,0.2144,30.3404,10.707,152.9363,13.396,94.8718,24.2868
Osasuna,3.7989,29.1269,0.2248,0.1859,15.804,8.6386,185.8009,27.1553,100.0,14.2293
Poland,3.1771,42.8703,0.1873,0.1926,19.7616,11.2549,190.8553,23.3648,94.4444,22.6094
Portugal,2.7185,57.9855,0.1608,0.2217,24.6724,8.1124,218.3417,22.0746,90.9819,22.4367
Qatar,4.6593,43.1207,0.1584,0.2101,20.6361,10.1765,166.9669,17.5133,100.0,15.2113
Real Betis,3.8058,41.7489,0.1453,0.1945,22.2656,10.6314,156.3205,15.7759,94.2711,13.1799
Real Madrid,2.3759,44.6456,0.1719,0.1939,31.3888,11.9307,184.4245,28.8384,93.2433,21.5492
Real Sociedad,2.461,43.9084,0.1477,0.2117,27.317,10.641,177.6086,13.9714,99.1228,18.4836
Real Valladolid,3.7289,38.0636,0.1761,0.2042,26.996,10.5665,183.3677,20.8697,92.6994,16.0246
Russia,3.1483,41.8061,0.1991,0.2197,20.2454,7.4785,213.4212,20.8097,87.7778,16.1746
Saudi Arabia,2.7111,44.4586,0.2169,0.203,22.1277,,188.1781,13.5988,92.7451,18.2379
Scotland,2.2334,44.8118,0.1917,0.2322,25.098,11.471,211.4241,24.0028,100.0,18.415
Senegal,3.0894,46.0157,0.1877,0.2112,23.03,,181.7171,18.9384,93.0769,19.9028
Serbia,2.4035,50.9396,0.1766,0.2045,13.0146,7.901,196.562,23.6157,100.0,15.1511
Sevilla,2.5603,42.4439,0.1738,0.1949,21.0688,9.0464,188.4903,24.7735,97.7679,18.3886
Slovakia,3.1303,43.7367,0.127,0.1851,23.3645,11.0667,152.5815,8.8737,100.0,11.9664
South Korea,2.6157,48.3354,0.1806,0.1928,18.1057,7.839,208.273,21.3319,96.7262,20.4855
Spain,1.4431,73.1844,0.1736,0.2528,31.9717,5.999,326.6672,31.4182,89.8658,26.7385
Sweden,3.8191,35.0417,0.2035,0.1837,21.6129,2.282,187.7842,14.5611,96.1538,24.2821
Switzerland,3.2102,47.5106,0.1672,0.1994,17.0992,7.9072,198.3925,17.0915,90.3811,20.4069
Tunisia,3.2824,44.63,0.2017,0.2129,22.7064,8.74,196.6948,18.8682,100.0,28.5437
Turkey,1.9238,48.4909,0.1458,0.1847,23.1605,7.818,176.594,17.3784,100.0,10.3427
Ukraine,3.6119,47.7274,0.1287,0.2084,17.2932,12.3652,170.9309,16.096,95.1373,19.5709
United States,2.5999,54.2716,0.1735,0.2193,23.8689,10.848,205.3576,23.339,97.9167,25.1066
Uruguay,2.8206,46.3462,0.188,0.2117,18.8335,6.866,200.394,19.8984,97.2222,20.3938
Valencia,3.6716,29.7019,0.1754,0.1844,17.0259,7.702,150.8576,15.1118,94.4231,8.2748
Villarreal,3.6337,39.6094,0.1769,0.1894,26.4568,12.0353,175.5899,17.4703,97.5694,15.5781
Wales,3.3864,41.5013,0.1781,0.1854,16.2802,5.268,161.6024,17.907,95.0255,17.8087
